,listingId,priceAmt,priceAvgNightly,priceFees,priceRent,lat,lng,city,state,country,reviewCount,reviewAverage,bathrooms,bedrooms,listingUrl,bookWithConfidence
0,v667450,628.9,78.61,,628.9,33.76104232,-84.32890846,Atlanta,GA,US,36,4.7222223,1.0,1,https://www.vrbo.com/667450?unitId=1215376,True
0,v418071,664.97,83.12,,664.97,33.74529814,-84.38959938,Atlanta,GA,US,40,4.625,1.0,1,https://www.vrbo.com/418071?unitId=1001118,True
0,4989606,1500.0,187.5,,1500.0,33.73535069,-84.46209976,Atlanta,GA,US,2,5.0,2.0,3,https://www.homeaway.com/vacation-rental/p4989606?uni_id=6225883,True
0,4366453,1141.76,142.72,,1141.76,33.7725223,-84.3659676,Atlanta,GA,US,4,5.0,1.0,1,https://www.homeaway.com/vacation-rental/p4366453?uni_id=4780972,True
0,v731455,1581.0,197.63,,1581.0,33.821442,-84.413481,Atlanta,GA,US,60,4.5833335,2.0,3,https://www.vrbo.com/731455?unitId=1279393,True
0,4535601,952.16,119.02,,952.16,33.76680679,-84.37226329,Atlanta,GA,US,8,4.375,1.0,1,https://www.homeaway.com/vacation-rental/p4535601?uni_id=5139784,True
0,4702526,2480.0,310.0,,2480.0,33.741399,-84.3824528,Atlanta,GA,US,32,4.71875,3.0,5,https://www.homeaway.com/vacation-rental/p4702526?uni_id=5666835,True
0,v1081900,928.8,116.1,,928.8,33.73646095,-84.37734314,Atlanta,GA,US,28,5.0,1.0,1,https://www.vrbo.com/1081900?unitId=1630058,True
0,v1289623,3400.0,425.0,,3400.0,33.8036274,-84.3903217,Atlanta,GA,US,0,0.0,2.0,3,https://www.vrbo.com/1289623?unitId=1840764,True
0,v1189296,617.1,77.14,,617.1,33.765721,-84.373061,Atlanta,GA,US,27,4.851852,1.0,1,https://www.vrbo.com/1189296?unitId=1740054,True
0,v833141,1428.64,178.58,,1428.64,33.7644467,-84.3488902,Atlanta,GA,US,4,4.75,1.0,2,https://www.vrbo.com/833141?unitId=1381080,True
0,4095077,2304.0,288.0,,2304.0,33.772159,-84.357757,Atlanta,GA,US,13,4.8461537,2.0,3,https://www.homeaway.com/vacation-rental/p4095077?uni_id=4493253,True
0,v1224938,1152.0,144.0,,1152.0,33.7729127,-84.3809948,Atlanta,GA,US,13,4.923077,1.0,1,https://www.vrbo.com/1224938?unitId=1775825,True
0,v674089,694.8,86.85,,694.8,33.777062,-84.353389,Atlanta,GA,US,37,4.6216216,1.0,1,https://www.vrbo.com/674089?unitId=1222027,True
0,v568425,1028.57,128.57,,1028.57,33.73831,-84.364194,Atlanta,GA,US,80,4.925,2.0,2,https://www.vrbo.com/568425?unitId=1115742,True
0,v811507,1055.76,131.97,,1055.76,33.7625418,-84.3878736,Atlanta,GA,US,15,4.3333335,1.0,1,https://www.vrbo.com/811507?unitId=1359445,True
0,v813046,742.86,92.86,,742.86,33.7769253,-84.3648418,Atlanta,GA,US,28,4.892857,1.0,1,https://www.vrbo.com/813046?unitId=1360984,True
0,v867522,2850.0,356.25,,2850.0,33.7675533,-84.3435948,Atlanta,GA,US,18,4.888889,2.0,3,https://www.vrbo.com/867522?unitId=1415461,True
0,v895856,2500.0,312.5,,2500.0,33.7615227,-84.3824794,Atlanta,GA,US,29,4.413793,2.0,2,https://www.vrbo.com/895856?unitId=1443797,True
0,4470003,1963.25,245.41,,1963.25,33.77443912,-84.37395573,Atlanta,GA,US,3,2.6666667,2.0,4,https://www.homeaway.com/vacation-rental/p4470003?uni_id=5057832,True
0,v615424,1714.29,214.29,,1714.29,33.83954263,-84.3798052,Atlanta,GA,US,17,4.6875,2.0,3,https://www.vrbo.com/615424?unitId=1162741,True
0,4353210,1912.0,239.0,,1912.0,33.73835566,-84.36517236,Atlanta,GA,US,4,4.75,2.0,3,https://www.homeaway.com/vacation-rental/p4353210?uni_id=4766795,True
0,4360925,1080.08,135.01,,1080.08,33.7725223,-84.3659676,Atlanta,GA,US,4,5.0,1.0,1,https://www.homeaway.com/vacation-rental/p4360925?uni_id=4775075,True
0,v685049,1135.72,141.97,,1135.72,33.76234593,-84.38777071,Atlanta,GA,US,20,4.45,1.0,1,https://www.vrbo.com/685049?unitId=1232987,True
0,4330860,2000.0,250.0,,2000.0,33.766948,-84.368411,Atlanta,GA,US,9,5.0,2.0,3,https://www.homeaway.com/vacation-rental/p4330860?uni_id=4742398,True
0,v1251808,850.25,106.28,,850.25,33.84499597,-84.36823109,Atlanta,GA,US,6,4.6666665,1.0,1,https://www.vrbo.com/1251808?unitId=1802766,True
