,listingId,priceAmt,priceAvgNightly,priceFees,priceRent,lat,lng,city,state,country,reviewCount,reviewAverage,bathrooms,bedrooms,listingUrl,bookWithConfidence,CrimeScore
0,v1195136,644,80.5,,644,33.80916589,-84.3637699,Atlanta,GA,US,12,4.6666665,1,1,https://www.vrbo.com/1195136?unitId=1745894,TRUE,11.716003
0,v1161828,1081.2,135.15,,1081.2,33.77742223,-84.37154926,Atlanta,GA,US,11,5,1,1,https://www.vrbo.com/1161828?unitId=1710092,TRUE,7.549279428
0,4067976,880,110,,880,33.76719105,-84.31995735,Atlanta,GA,US,20,5,1,1,https://www.homeaway.com/vacation-rental/p4067976?uni_id=4463762,TRUE,3.560587487
0,4838545,4649,581.13,,4649,33.73572997,-84.473879,Atlanta,GA,US,1,5,2,4,https://www.homeaway.com/vacation-rental/p4838545?uni_id=5841082,TRUE,1.114412035
0,908860,1552.48,194.06,,1552.48,33.739156,-84.366343,Atlanta,GA,US,49,4.5208335,2,3,https://www.homeaway.com/vacation-rental/p908860?uni_id=3219259,TRUE,7.919278699
0,4742437,750,93.75,,750,33.837025,-84.3747979,Atlanta,GA,US,4,4.5,1,1,https://www.homeaway.com/vacation-rental/p4742437?uni_id=5720285,TRUE,20.2406756
0,4085153,1371.43,171.43,,1371.43,33.82288,-84.363624,Atlanta,GA,US,24,4.478261,2,2,https://www.homeaway.com/vacation-rental/p4085153?uni_id=4482453,TRUE,51.23832614
0,v1284520,2070,258.75,,2070,33.8000583,-84.4110427,Atlanta,GA,US,9,5,2,4,https://www.vrbo.com/1284520?unitId=1835659,TRUE,18.19216636
0,4549491,935,116.88,,935,33.7669855,-84.3467281,Atlanta,GA,US,0,0,1,1,https://www.homeaway.com/vacation-rental/p4549491?uni_id=5158229,TRUE,16.85429864
0,v414019,2400,300,,2400,33.77384567,-84.35003662,Atlanta,GA,US,34,4.878788,2,3,https://www.vrbo.com/414019?unitId=414019,TRUE,9.22030888
0,4840129,1150,143.75,,1150,33.84406879,-84.3737746,Atlanta,GA,US,2,4.5,1,1,https://www.homeaway.com/vacation-rental/p4840129?uni_id=5843036,TRUE,32.3169909
0,v1193157,480,60,,480,33.76802613,-84.41746261,Atlanta,GA,US,2,3.5,1,1,https://www.vrbo.com/1193157?unitId=1743915,TRUE,8.801699518
0,v1007026,1520,190,,1520,33.775889,-84.371465,Atlanta,GA,US,8,4.625,1,2,https://www.vrbo.com/1007026?unitId=1554974,TRUE,9.390895504
0,v831474,628.56,78.57,,628.56,33.76168453,-84.32882263,Atlanta,GA,US,20,4.45,1,1,https://www.vrbo.com/831474?unitId=1379413,TRUE,3.057065612
0,v826890,994.35,124.29,,994.35,33.7625418,-84.3878736,Atlanta,GA,US,7,4.857143,1,1,https://www.vrbo.com/826890?unitId=1374828,TRUE,79.75888752
0,v1197997,4200,525,,4200,33.75425253,-84.33823892,Atlanta,GA,US,8,4.1666665,3,4,https://www.vrbo.com/1197997?unitId=1748757,TRUE,1.463603156
0,4762294,712,89,,712,33.7700581,-84.3425347,Atlanta,GA,US,3,4.3333335,1,1,https://www.homeaway.com/vacation-rental/p4762294?uni_id=5746063,TRUE,5.856005621
0,4646600,1272,159,,1272,33.7626854,-84.3585092,Atlanta,GA,US,0,0,1,1,https://www.homeaway.com/vacation-rental/p4646600?uni_id=5404924,TRUE,21.31190344
0,v282484,2734,341.75,,2734,33.79019547,-84.3937149,Atlanta,GA,US,40,4.5128207,3,3,https://www.vrbo.com/282484?unitId=282484,TRUE,13.02480862
0,4651555,878.88,109.86,,878.88,33.8030906,-84.3732381,Atlanta,GA,US,2,5,1,1,https://www.homeaway.com/vacation-rental/p4651555?uni_id=5411787,TRUE,6.103616563
0,4713219,775,96.88,,775,33.837537,-84.3741381,Atlanta,GA,US,2,5,1,1,https://www.homeaway.com/vacation-rental/p4713219?uni_id=5683818,TRUE,23.8950166
0,v923355,632,79,,632,33.761078,-84.328887,Atlanta,GA,US,28,4.5,1,1,https://www.vrbo.com/923355?unitId=1471296,TRUE,4.817333164
0,4937538,960,120,,960,33.8441443,-84.42792621,Atlanta,GA,US,0,0,1,1,https://www.homeaway.com/vacation-rental/p4937538?uni_id=6113666,TRUE,4.308529735
0,v99524,1080,135,,1080,33.7625618,-84.38787842,Atlanta,GA,US,5,3.8,1,1,https://www.vrbo.com/99524?unitId=99524,TRUE,76.97140024
0,4360922,1141.76,142.72,,1141.76,33.7717641,-84.3669724,Atlanta,GA,US,3,5,1,1,https://www.homeaway.com/vacation-rental/p4360922?uni_id=4775072,TRUE,20.65308056
0,v1040623,1350,168.75,,1350,33.8021496,-84.4454479,Atlanta,GA,US,1,5,2,3,https://www.vrbo.com/1040623?unitId=1588743,TRUE,0.013125978
0,v925039,972,121.5,,972,33.77609173,-84.37984027,Atlanta,GA,US,8,4.125,1,1,https://www.vrbo.com/925039?unitId=1472980,TRUE,21.22942953
0,4814783,4400,550,,4400,33.75430468,-84.34305266,Atlanta,GA,US,2,3.5,3,4,https://www.vacationrentals.com/listing/p4814783?uni_id=5810636,TRUE,6.735808388
0,7345061,1118.8,139.85,,1118.8,33.7716274,-84.3681286,Atlanta,GA,US,0,0,1,1,https://www.homeaway.com/vacation-rental/p7345061?uni_id=6691220,TRUE,15.06123069
0,7180302,1918.88,239.86,,1918.88,33.7850416,-84.379955,Atlanta,GA,US,0,0,2,2,https://www.homeaway.com/vacation-rental/p7180302?uni_id=6353022,TRUE,17.38801513
0,4360921,1194.32,149.29,,1194.32,33.7624378,-84.3585321,Atlanta,GA,US,1,5,1,1,https://www.homeaway.com/vacation-rental/p4360921?uni_id=4775071,TRUE,21.30021792
0,v1256956,704,88,,704,33.73116179,-84.39849184,Atlanta,GA,US,0,0,1,2,https://www.vrbo.com/1256956?unitId=1807921,TRUE,6.960991392
0,4749851,6480,810,,6480,33.78072603,-84.38762065,Atlanta,GA,US,0,0,2,2,https://www.homeaway.com/vacation-rental/p4749851?uni_id=5729694,TRUE,44.98399854
0,4880089,32000,4000,,32000,33.83723326,-84.37668173,Atlanta,GA,US,0,0,2,2,https://www.homeaway.com/vacation-rental/p4880089?uni_id=5913041,TRUE,37.97868362
0,7529202,1060,132.5,,1060,33.78326,-84.38783,Atlanta,GA,US,0,0,1,1,https://www.homeaway.com/vacation-rental/p7529202?uni_id=6942772,TRUE,16.76873512
0,7413246,2341.84,292.73,,2341.84,33.7629834,-84.3679438,Atlanta,GA,US,0,0,2,3,https://www.homeaway.com/vacation-rental/p7413246?uni_id=6789698,TRUE,4.740533886
0,4751380,1027.44,128.43,,1027.44,33.7403001,-84.3414907,Atlanta,GA,US,1,5,3,2,https://www.homeaway.com/vacation-rental/p4751380?uni_id=5731406,TRUE,6.435917788
0,7529200,1002,125.25,,1002,33.75521,-84.38185,Atlanta,GA,US,0,0,1,1,https://www.homeaway.com/vacation-rental/p7529200?uni_id=6942770,TRUE,22.14951899
0,4539094,1202,150.25,,1202,33.84926,-84.37332,Atlanta,GA,US,1,3,1,0,https://www.homeaway.com/vacation-rental/p4539094?uni_id=5144889,TRUE,15.49926896
0,4538611,1332,166.5,,1332,33.8468,-84.37002,Atlanta,GA,US,0,0,1,0,https://www.homeaway.com/vacation-rental/p4538611?uni_id=5714511,TRUE,34.29635876
0,7193972,1280,160,,1280,33.69508,-84.50515,Atlanta,GA,US,1,4,1,3,https://www.homeaway.com/vacation-rental/p7193972?uni_id=6368785,TRUE,5.396159062
0,4467376,1245,155.63,,1245,33.7625367,-84.3597279,Atlanta,GA,US,5,3.8,2,2,https://www.homeaway.com/vacation-rental/p4467376?uni_id=5055130,TRUE,22.0251081
0,v628858,3428.57,428.57,,3428.57,33.81027,-84.399206,Atlanta,GA,US,0,0,2,3,https://www.vrbo.com/628858?unitId=1176639,TRUE,4.549327668
0,7663399,5200,650,,5200,33.71402,-84.36444,Atlanta,GA,US,0,0,2,4,https://www.homeaway.com/vacation-rental/p7663399?uni_id=7123984,TRUE,10.79383806
0,7628605,997.6,124.7,,997.6,33.69901,-84.40637,Atlanta,GA,US,0,0,2,3,https://www.homeaway.com/vacation-rental/p7628605?uni_id=7076741,TRUE,14.92802683
0,v1212193,1440,180,,1440,33.82555159,-84.37270371,Atlanta,GA,US,0,0,1,1,https://www.vrbo.com/1212193?unitId=1763043,TRUE,3.857350461
0,v742354,1260,157.5,,1260,33.76256,-84.387878,Atlanta,GA,US,29,3,1,2,https://www.vrbo.com/742354?unitId=1290292,TRUE,76.97140024
0,v1210218,826,103.25,,826,33.7480665,-84.3790928,Atlanta,GA,US,4,5,1,1,https://www.vrbo.com/1210218?unitId=1761062,TRUE,18.17437285
