,listing_id,price_amt,price_avg_nightly,price_fees,price_rent,latitude,longitude,city,state,country,review_count,review_average,bathrooms,bedrooms,listing_url,book_with_confidence,crime_score
202,7384305,1447.0,180.88,,1447.0,33.760714,-84.374001,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7384305?uni_id=6752659,True,132
203,7384318,1447.0,180.88,,1447.0,33.760714,-84.374001,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7384318?uni_id=6752673,True,132
204,7606181,1447.0,180.88,,1447.0,33.760979999999996,-84.3738,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7606181?uni_id=7051036,True,132
205,4750224,2044.4,255.55,,2044.4,33.7902255,-84.39344770000001,Atlanta,GA,US,6,4.5,3.0,2,https://www.homeaway.com/vacation-rental/p4750224?uni_id=5730110,True,62
206,7686865,1710.5,213.81,,1710.5,33.68757784,-84.3720589,Atlanta,GA,US,0,0.0,2.0,3,https://www.homeaway.com/vacation-rental/p7686865?uni_id=7150680,True,52
207,7606226,1447.0,180.88,,1447.0,33.760979999999996,-84.3738,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7606226?uni_id=7051081,True,132
208,7606225,1447.0,180.88,,1447.0,33.760979999999996,-84.3738,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7606225?uni_id=7051080,True,132
209,v1461219,1721.0,215.13,,1721.0,33.765381,-84.36555,Atlanta,GA,US,0,0.0,1.0,2,https://www.vrbo.com/1461219?unitId=2019805,True,132
210,4963376,1862.0,232.75,,1862.0,33.77345,-84.36135999999999,Atlanta,GA,US,0,0.0,1.0,0,https://www.homeaway.com/vacation-rental/p4963376?uni_id=6161426,True,30
211,v1461210,1072.0,134.0,,1072.0,33.820081,-84.365859,Atlanta,GA,US,0,0.0,1.0,1,https://www.vrbo.com/1461210?unitId=2019796,True,162
212,7606177,1716.0,214.5,,1716.0,33.7718022,-84.38057090000001,Atlanta,GA,US,0,0.0,2.0,2,https://www.homeaway.com/vacation-rental/p7606177?uni_id=7051032,True,373
213,7345426,1437.92,179.74,,1437.92,33.79331,-84.38803,Atlanta,GA,US,0,0.0,1.0,0,https://www.homeaway.com/vacation-rental/p7345426?uni_id=6691749,True,373
214,7635336,1666.0,208.25,,1666.0,33.78588,-84.38596,Atlanta,GA,US,0,0.0,1.0,0,https://www.homeaway.com/vacation-rental/p7635336?uni_id=7085589,True,373
215,7571807,995.0,124.38,,995.0,33.792671999999996,-84.3955637,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7571807?uni_id=7000554,True,62
216,v1321736,28571.36,3571.42,,28571.36,33.82760467,-84.39416267,Atlanta,GA,US,0,0.0,7.0,5,https://www.vrbo.com/1321736?unitId=1880021,True,28
217,7556004,3016.25,377.03,,3016.25,33.78167399,-84.36579909,Atlanta,GA,US,7,5.0,2.0,3,https://www.homeaway.com/vacation-rental/p7556004?uni_id=6980883,True,47
218,v1530594,1200.0,150.0,,1200.0,33.822548499999996,-84.3865926,Atlanta,GA,US,2,5.0,1.0,1,https://www.vrbo.com/1530594?unitId=2089393,True,21
219,4538848,1776.0,222.0,,1776.0,33.786590000000004,-84.3819,Atlanta,GA,US,0,0.0,1.0,0,https://www.homeaway.com/vacation-rental/p4538848?uni_id=6847813,True,373
